Catalog Name,School/College Name,Department Name,Entity Name,Course Type,Prefix,Code,Name,SCNS Discipline Number,CIP,Credits:,Lecture:,Laboratory:,Lab Code,Experiential:,Prerequisites: (Rendered no HTML),Co-requisite: (Rendered no HTML),Course Description: (Rendered no HTML),General Education Requirements,Gordon Rule,Gordon Rule Writing,Honors Course?,Textbook (Rendered no HTML),Instructional Materials (Rendered no HTML),Course Objectives (Rendered no HTML),Learning Outcomes (Rendered no HTML),Course Outline (Rendered no HTML),Instructional Methods (Rendered no HTML),Physical Inventory of Equipment for Practical Experience (lab equipment) (Rendered no HTML),Resources and Reference Materials (Rendered no HTML),Primary Term(s) Offered:,Rotation Year,Is Active,Degree Program Usage
2021-2022 Undergraduate Academic Catalog and Student Handbook,Florida Polytechnic University,Data Science and Business Analytics,Data Science and Business Analytics,Business Law,BUL,2241,"Law, Public Policy, Negotiation and Business",BUSINESS LAW  -  112,52.0101,3,3,0,No,0, ENC 1101 - English Composition 1: Expository and Argumentative Writing  ,,"The Structure of the legal system; administrative law and government regulation of business; and the legal environment of business including constitutional law, torts, contracts, and product liability are presented. ",No,No,No,No,"Business Law: Text and Cases: Legal, Ethical, Global, and Corporate Environment (13th Edition) (2015) (Cengage Learning) by Kenneth W. Clarkson, Roger LeRoy Miller, Frank B. Cross ISBN: 9781285185248 Business Law: Text and Cases: Legal, Ethical, Global, and Corporate EnvironmentKenneth W. Clarkson, Roger LeRoy Miller, Frank B. Cross ","Textbook, articles, project, guest speaker and PowerPoint Presentations ","1. Describe the legal system and the legal environment of business. 

2. Gain knowledge of the core principles that guide the economy and become familiar with a number of areas of regulation inclusive of antitrust, environmental, consumer law and patents. 

3. Gain a good understanding of how government intervention has effected selected markets. ","1. Advantages and disadvantages of corporations, partnerships, LLC's, sole proprietorships and limited partnerships. 

2. Understand contract law, inclusive of offer acceptance, consideration, defenses, breach and remedies. 

3. Understand Torts and business liability. 

4. Understand legal rules and ethical constraints. 

5. Understand a number of areas of regulation and constitutional law. ","1. Introduction to Law and Legal Reasoning 

  

2. Judicial System: Courts, Alternative Dispute Resolution and Court Procedures 

Comparison with Foreign Jurisdiction 

  

3. Constitutional Authority to Regulate Business 

  

4. Ethics and Business Decision Making 

Guest Speaker 

  

5. International Torts and Privacy in the Digital Age 

  

6. Negligence and Strict Liability 

  

7. Intellectual Property and Internet Law 

  

8. Criminal Law and Cyber Crime 

  

9. Contracts: Nature and Terminology 

Agreement in Traditional and E-Contracts 

Project: Written Contract, students will practice their ability to write a contract for a real-world scenario. 

  

10. The Statute of Frauds-Writing Requirement and Electronic Records (Chapter 15) 

Performance and Discharge in Traditional and E-Contracts (Chapter 17) 

  

11. Business Organizations: Partnerships, Limited Liability Partnerships, Limited Liability Companies, Corporate Directors and Law for Small Business 

  

12. Administrative Law 

Article: A. Murray, ""Corporate Governance Concerns are Spreading, and Companies Should Take Head,"" The Wall Street Journal (April 12, 2006) 

Project Presentations 

  

13. Consumer Law 

Article: T. Muris, ""The Federal Trade Commission and the Future Development of U.S. Consumer Protection Policy, "" Remarks before the Progress and Freedom Foundation's Aspen Summit (August 19, 2003); http://www.ftc.gov/speeches/muris/030819aspen.htm 

Project Presentations 

  

14. Environmental Law 

Article: ""EPA Rules Outweigh Costs, Report Finds,"" The New York Times, Section 1, p. 36 (September 28,2003) 

  

15. Antitrust Law and Patents 

Article: F. Easterbrook, ""Antitrust and the Economics of Federalism,"" 26 J. of L. and Econ. 23, 23-29, 45-50 (1983). 

FTC Report, ""To Promote Innovation: The Proper Balance of Competition and Patent Law and Policy (read Executive Summary only); http://www.ftc.gov/os/2003/10/innovationrptsummary.pdf ",,,"Wall Street Journal, The New York Times, The Journal of Law and Economics, FTC Report, Remarks before the Aspen Summit. ",,,1,"Bachelor of Science, Business Analytics (Program Description),Bachelor of Science, Business Analytics (Plan of Study)"
2021-2022 Undergraduate Academic Catalog and Student Handbook,Florida Polytechnic University,Data Science and Business Analytics,Data Science and Business Analytics,Accounting,ACG,2021,Principles of Financial Accounting,ACCOUNTING  -  165,52.0301,3,3,0,No,0,None ,,"This course is an introduction to the principles of financial accounting and focuses on wealth and income measurement and the preparation and interpretation of financial statements. The recording and reporting of financial activity, balance sheets, income statements, changes in equity, cash flows, underlying assets, liabilities, and equities are also presented. ",No,No,No,No,"Harrison, Horngren & Thomas, Financial Accounting, 9th edition, Pearson ",,"To introduce accounting as the ""language of business"" and to teach students to apply accounting theory, standards, principles and procedures to practical accounting problems. 

  ","1. Identify the information conveyed in each of the four basic financial statements and the way that it is used by different decision makers. 

2. Identify what constitutes a business transaction and apply transaction analysis to record the effects of those transactions. 

3. Prepare basic financial statements based upon Generally Accepted Accounting Principles. 

4. Describe common financial statement relationships used in financial analysis. ","1. The Financial Statements 

2. Transaction Analysis 

3. Accrual Accounting and Income 

4. Short-term Investments and Receivables 

5. Inventory and Cost of Goods Sold 

6. Plant Assets, Natural Resources, and Intangibles 

7. Long-term Investments and the Time Value of Money 

8. Liabilities 

9. Stockholder's Equity 

10. The Statement of Cash Flows 

  ",,,,,,1,
2021-2022 Undergraduate Academic Catalog and Student Handbook,Florida Polytechnic University,Data Science and Business Analytics,Data Science and Business Analytics,Accounting,ACG,2071,Principles of Managerial Accounting,ACCOUNTING  -  165,52.0301,3,3,0,No,0,ACG 2021 - Principles of Financial Accounting  ,,"This course covers tools used by management for cost reporting and control including statements, analytical tools, and reports. ",No,No,No,No,"Braun & Tietz, Managerial Accounting, 3rd edition, Pearson. ",,,"1. Prepare an income statement for a manufacturing firm 

2. Determine product costs using job-order costing and activity-based costing 

3. Use cost-volume-profit analysis 

4. Prepare operating budgets 

5. Analyze business decisions using accounting techniques. 

  ","1. Overview 

2. Building Blocks 

3. Job Costing and Activity-Based Costing 

4. Lean Production 

5. Process Costing 

6. Cost Behavior 

7. Cost-Volume-Profit Analysis 

8. Short-term Business Decisions 

9. Master Budget 

10. Performance Evaluations 

11. Standard Costs and Variances 

12. Capital Investment Decisions ",,,,,,1,
2021-2022 Undergraduate Academic Catalog and Student Handbook,Florida Polytechnic University,Data Science and Business Analytics,Data Science and Business Analytics,General Business,GEB,3373,International & Comparative Dimensions of Business,GENERAL BUSINESS  -  155,52.0203,3,3,0,No,0,None ,,"Enterprises, markets, institutions, firm competitiveness, industry globalization, international business transactions, and entry strategies are discussed from a cross-cultural and international perspective. ",No,No,No,No,International Business: Competing in the Global Marketplace by Charles W. L. Hill (ISBN-13: 978-0078112775)  and Managing Across Cultures The Seven Keys to Doing Business with a Global Mindset by Charlene M. Solomon and Michael S. Schell ,,"Understand and analyze international business practices in comparison to similar practices in the United States and other countries. 

  

Have an appreciation of cultural differences, which will help overcome difficulties which could arise when negotiating and doing business in an international setting. ","1. Learning Outcomes of Instruction: 

2. An appreciation for the cross-cultural dimensions of business education, enterprises, markets and institutions. 

3. Understand why businesses chose to go global and the managerial implications of the decisions. 

4. Become aware of the politics of international trade and investment. 

5. Understand the strategies and structures of international business. 

6. Be able to explain how and why the world's countries differ. ","1. Globalization 

Deal or Debacle-DaimlerChrysler and Lessons from the Big Guys (Chapter 2-Solomon) 

Research the  WTO (World Trade Organization) 

  

2. Country Differences 

What is Culture and What is Personal Style? (Chapter 3-Solomon) 

  

3. Global Trade and Investment Environment 

Research JETRO (Japan External Trade Organization) 

  

4. The Global Monetary System 

Research FITA (The Federation of International Trade Associations) 

Quiz 

  

5. The Strategy and Structure of International Business 

Women Crossing Cultures (Chapter 14- Solomon) 

  

6. Mode of Entry and Strategic Alliances 

Research NAFTA (North American Free Trade Agreement) 

  

7. Business Operations 

Effective Leadership: Managing Talent Across Cultures (Chapter 13-Solomon) 

  

8. Financial Management 

Research CCPIT  (China Council for the Promotion of International Trade) 

Quiz 

  

9. Environment and Consumption Imperatives 

Project Assigned: Create an International Strategic Business Plan 

  

10. Group Focus and Relationships 

Research The EU's Common Commercial Policy 

  

11. Communication Styles and Time Orientation 

Research WFTO (World Fair Trade Organization) 

  

12. Change Tolerance and Creating a Global Mindset in Business 

  

13. Creating Effective Global Teams and Working with Diverse Colleagues 

Quiz 

  

14. Final Project Presentations- Strategic Business Plan 

  

15. Final Project Presentations- Strategic Business Plan ","Textbook, research papers, PowerPoint Presentations, Final Project, Quizes ",,"WTO (http://www.wto.org) 

JETRO (http://www.jetro.go.jp 

FITA (http://www.fita.org) 

NAFTA (http://www.ustr.gov/trade-agreements/free-trade-agreements/north-american-free-trade-agreement-nafta) 

CCPIT (http://www.ccpit.org.cn) 

EU (http://www.fta-eu.org) 

WFTO (http://www.wfto.com) ",,,1,"Bachelor of Science, Business Analytics (Program Description),Bachelor of Science, Business Analytics (Plan of Study)"
2021-2022 Undergraduate Academic Catalog and Student Handbook,Florida Polytechnic University,"Arts, Humanities, and Social Sciences","Arts, Humanities, and Social Sciences",American History,AMH,2020,American History Since 1877,HISTORY  -  037,54.0102,3,3,0,No,0,None ,,This course presents a survey of the emergence of modern America as an industrial and world power; the Progressive Era; WWI; the Great Depression and the New Deal; WWII; and the Cold War era. This course meets communication/writing-intensive requirements (W).  ,Yes,Yes,Yes,No,"Eric Foner, Give Me Liberty! An American History, Brief 4th Edition, Volume 2 

Eric Foner, Voices of Freedom: A Documentary History, 4th Edition, Volume 2 ",Additional course readings will be available on CANVAS. ,"
	To introduce major themes in American history since 1877. 
	To enable students to effectively discuss important themes and concepts from American history verbally and in writing. 
	To teach students how to analyze both primary and secondary historical sources. 
	To teach students how to effectively construct an argument analyzing patterns and change over time in American history. 
 ","
	
		
			
			
				Describe and analyze historical patterns within American history 
			 
			 
		 
		
			
			
				Construct a coherent argument that explains the social, economic, political, and/or cultural reasons for historical change. 
			 
			 
		 
	 
 ","Week 1 

Course Introduction 

The ""Problem"" of Freedom 

Punishing or Pampering the South? 

  

Week 2 

Interpreting Reconstruction 

Conquering a Continent 

  

Week 3 

The Gilded Age 

""Eight Hours for What We Will"" 

A Cross of Gold 

  

Week 4 

A New South 

The White Man's Burden 

A New America 

  

Week 5 

Progressivism I 

Progressivism II 

World War I Abroad 

  

Week 6 

World War I at Home I 

World War I at Home II 

The Jazz Age 

  

Week 7 

Hard Times 

Film: Ken Burns' The Dust Bowl 

Group Presentations 

  

Week 8 

Group Presentations and Exam Review 

Midterm exam 

FDR's New Deal 

  

Week 9 

A Social Democracy I 

A Social Democracy II 

World War II Abroad 

  

Week 10 

World War II at Home I 

World War II at Home II 

The Iron Curtain Descends 

  

Week 11 

McCarthyism 

Duck and Cover 

The Affluent Fifties 

  

Week 12 

Righting America's Wrongs I 

Righting America's Wrongs II 

Liberalism's High Water Mark 

  

Week 13 

The Failure of Liberalism 

The ""Unraveling"" of America I 

The ""Unraveling"" of America II 

  

Week 14 

The Resignation of a President 

  

Week 15 

Malaise Forever 

The Reagan Revolution 

Group Presentations 

Group Presentations 

Final Thoughts, Course Evaluations, and Exam Review ","Lectures, class discussions, and student presentations. ",,,,,1,"Additional Florida Requirements,General Education Program,Bachelor of Science, Electrical Engineering (Plan of Study),Bachelor of Science, Mechanical Engineering (Plan of Study),Bachelor of Science, Data Science (Plan of Study),Bachelor of Science, Computer Engineering (Plan of Study),Bachelor of Science, Computer Engineering (Program Description),Bachelor of Science, Computer Science (Program Description),Bachelor of Science, Electrical Engineering (Program Description),Bachelor of Science, Mechanical Engineering (Program Description),Bachelor of Science, Business Analytics (Program Description),Bachelor of Science, Data Science (Program Description),Bachelor of Science, Engineering Mathematics - Mathematical Medicine and Biology (Plan of Study),Bachelor of Science, Engineering Physics - Physics of Medicine Track (with Pre-Med Option) (Plan of Study),Bachelor of Science, Engineering Physics - Physics of Space Track (Plan of Study),Bachelor of Science, Applied Mathematics (Plan of Study),Bachelor of Science, "
2021-2022 Undergraduate Academic Catalog and Student Handbook,Florida Polytechnic University,"Arts, Humanities, and Social Sciences","Arts, Humanities, and Social Sciences",Art History,ARH,2000,Art Appreciation,ART  -  006,24.0199,3,3,0,No,0,None ,,"Introduction to the artistic experience through the examination of different ideas, approaches and purposes of art. This course meets communication/writing-intensive requirements (W). ",Yes,Yes,Yes,No,"Perceiving the Arts: An Introduction to the Humanities, 11/E 

Dennis J. Sporre, Elon University 

ISBN-10: 020599511X • ISBN-13: 9780205995110 

©2015 • Pearson • Paper, 264 pp ",,"
	Describe art objects, styles, and techniques using appropriate vocabulary                                                                              
	Explain the influence of the historic and socio-cultural contexts on different art forms                                                         
	Identify major art styles, major movements, and artists                                                                                                                                                  
	Explore variety of subjects and materials through audio-visual, digital, and hands on projects 
 ","
	
		
			
			
				Student will identify formal elements of art styles, art functions, and content of works of art. 
			 
			 
		 
		
			
			
				Student will identify and define the principles of design, organization, and application. 
			 
			 
		 
		
			
			
				Students will explain the influence of philosophy, religion, socio-political organization on different art forms. 
			 
			 
		 
		
			
			
				Student will describe and analyze art works using theoretical knowledge, critical analysis and practical experience. 
			 
			 
		 
	 
 ","1. Introduction to the Arts 

2. Two Dimensional Arts 

3. Two Dimensional Arts 

4. Three Dimensional Arts 

5. Three Dimensional Arts 

6. Architecture 

7. Architecture 

8. Music 

9. Music 

10. Literature 

11. Theatre 

12. Dance 

13. Cinema and Animation 

14. Cinema and Animation 

15. Conclusions ",,,,,,1,"Additional Florida Requirements,General Education Program,Bachelor of Science, Electrical Engineering (Plan of Study),Bachelor of Science, Mechanical Engineering (Plan of Study),Bachelor of Science, Data Science (Plan of Study),Bachelor of Science, Computer Engineering (Plan of Study),Bachelor of Science, Computer Engineering (Program Description),Bachelor of Science, Computer Science (Program Description),Bachelor of Science, Electrical Engineering (Program Description),Bachelor of Science, Mechanical Engineering (Program Description),Bachelor of Science, Business Analytics (Program Description),Bachelor of Science, Data Science (Program Description),Bachelor of Science, Environmental Engineering (Plan of Study),Bachelor of Science, Engineering Physics (Plan of Study),Bachelor of Science, Engineering Physics - Physics of Medicine Track (with Pre-Med Option) (Plan of Study),Bachelor of Science, Engineering Physics - Physics of Space Track (Plan of Study),Bachelor of Science, Applied Mathematics (Plan of Study"
2021-2022 Undergraduate Academic Catalog and Student Handbook,Florida Polytechnic University,Data Science and Business Analytics,Data Science and Business Analytics,Computer General Studies,CGS,1100C,Applications for Business,COMPUTER SCIENCE & COMPUTING TECHNOLOGIES  -  010,52.0203,2,1,1,No,0,None ,,"Using technology to improve global business performance as well as the creation of value for organizations by using business process innovations and technology are discussed. Hardware concepts, operating systems, word processing, spread sheets, database, project management, networks, internet, World Wide Web, multimedia presentations, information systems, and other microcomputer hardware and software applications that are typically used in the work place are presented. ",No,No,No,No,"Information Systems in Organizations: People, Technology, and Processes by Patricia Wallace. ",,"The course objective is to teach students the theoretical approach to information technology and management information systems within a business/computer science environment. Practical business computer applications will emphasize word processing, spreadsheets, databases, presentation software and electronic commerce of the Internet.  

  ","-Understand the concepts and terminology used in the development, implementation and operation of business computer applications. 

-Learn the various methods where Information technology can be used to support existing businesses and strategies. 

-Learn how to use productivity/application software to enhance business activities. 

-Accomplish projects utilizing business theories, teamwork, Internet resources and computer technology. 

-Learn about emerging technology in shaping new processes, strategies and business models. ","1. Information Systems and People 

E-Project 1: Analyzing the May 6 ""Flash Crash"" with Excel Charts 

  

2. Information Systems and Strategy 

Case Study: A Humanitarian Supply Chain for the Red Cross 

E-Project 2: Identifying Company Strategy with Online Financial Chart Tools 

  

3. Information and Communications Technologies: The Enterprise Architecture 

Case Study: Clearwire and the Race to 4G 

E-Project 3: Using Excel to Analyze Cost Effectiveness for 4G Rollouts 

  

4. Managing Information Resources with Databases 

E-Project 4: Building a Database for Customer Records 

  

5. Information Systems for the Enterprise 

E-Project 5: Evaluating Employment and Recruitment Websites 

  

6. The Web and E-Commerce 

E-Project 6: Examining the Top M-Commerce Sites 

  

7. Business Intelligence and Decision Support 

E-Project 7: Analyzing Football Statistics with Excel 

  

8. Collaborating with Technology 

E-Project 8: Estimating Breakeven Pricing for Telepresence Robots Using a Spreadsheet 

  

9.Knowledge Management and E-Learning 

E-Project 9: Exploring the World of Online Courses 

  

10. Ethics, Privacy and Security 

Case Study: Facebook's Privacy Challenges 

E-Project 10: Tracking the Trackers: Investigating How Third-Party Cookies Steer the Ads You See 

  

11. Systems Development and Procurement 

E-Project 11: Watching babycenter.com change over time with the Internet archive 

  

12. Project Management and Strategic Planning 

E-Project 12: Analyzing Airline Performance with Excel Pivot Tables 

  

13. Case Study: Managing the Federal Government's IT Project Porfolio 

E-Project 13: Analyzing Spammers by Country Using Excel Pivot Tables 

  

14. Case Study: Online Behavioral Advertising: Criteo's Retargeting Strategy Pleases Clients but Spooks Privacy Advocates 

Case Study: Leveraging the Advantages of Collaborative Technologies: The Virtual Workplace at Sun Microsystems 

E-Project 14: Estimating Savings for Virtual Work Using an Excel Model 

  

15. Hands on assignment with MS Powerpoint ","Textbook, case studies, Powerpoints, Excel, Word, projects. ",,,,,0,"Bachelor of Science, Business Analytics (Program Description)"
2021-2022 Undergraduate Academic Catalog and Student Handbook,Florida Polytechnic University,Mechanical Engineering and Environmental Engineering,Mechanical Engineering and Environmental Engineering,Chemistry,CHM,2045,Chemistry 1,CHEMISTRY  -  065,40.0501,3,3,0,No,0,None ,CHM 2045L - Chemistry 1 Laboratory  ,"This course introduces the principles of chemistry and their applications based upon the study of physical and chemical properties of the elements. Topics covered in this class includes: stoichiometry, atomic and molecular structure, the states of matter, chemical bonding, thermochemistry, and gas laws. ",Yes,Yes,Yes,No,"General Chemistry: Atoms First, MacMurray and Fay, 2nd edition, e-text (ISBN: 9780321813282) or other text approved by the chemistry faculty. ",Mastering Chemistry online homework system or other online system approved by the chemistry faculty.  Access code bundled with text. ,"The objectives of this course are to introduce students to general chemistry principles, to relate atomic and molecular structure to chemical and physical properties, to enable students to make chemical calculations, and to prepare them to successfully complete higher level courses. ","
	
		
			
			
				Relate the quantum and electron configurations of atoms to the periodicity in chemical and physical properties of elements as represented in the periodic table. 
			 
			 
		 
		
			
			
				Use stoichiometric methods to convert between mass, moles, and concentration. 
			 
			 
		 
		
			
			
				Predict the bonding and resulting geometry of atoms in molecules. 
			 
			 
		 
		
			
			
				Determine enthalpy change in chemical reactions. 
			 
			 
		 
		
			
			
				Employ the kinetic theory of gases and the ideal gas laws to determine pressure, volume, temperature, and/or amount of a gas. 
			 
			 
		 
	 
 ","Week 1 

Measurement, units, dimensional analysis 

Chapter 0 

  

Week 2 

The elements, periodic table, conservation of mass, laws of definite & multiple proportions 

Chapter 1 

  

Week 3 

Atomic theory and structure 

Light and matter 

Chapter 1 

Chapter 2 

  

Week 4 

Quantum mechanical model of the atom, orbitals 

Chapter 2 

  

Week 5 

Ionization and ionic bonds 

Chapter 3 

  

Week 6 

Covalent bonds, Lewis structures, resonance 

Chapter 5 

  

Week 7 

VESPR theory, hybrid orbitals, MO theory 

Chapter 6 

  

Week 8 

Stoichiometry 

Chapter 6 

  

Week 9 

Stoichiometry (cont.) 

Chapter 6 

  

Week 10 

Electrolytes, aqueous reactions, acid-base reactions, redox reactions 

Chapter 7 

  

Week 11 

Calorimetry and Hess' Law 

Chapter 8 

  

Week 12 

Gas laws, partial pressure, kinetic-molecular theory of gases 

Chapter 9 

  

Week 13 

Liquids, solids, and phase changes 

Chapter 10 

  

Week 14 

Kinetics, rate laws, first-order reactions, half-life 

Chapter 12 

  

Week 15 

Equilibria and kinetics, equilibrium constants, Le Châtelier's principle, final exam 

Chapter 13 ",,,For example: http://www.webelements.com/ ,,,1,"Bachelor of Science, Computer Engineering (Plan of Study),General Education Program,Bachelor of Science, Electrical Engineering (Plan of Study),Bachelor of Science, Data Science (Plan of Study),Bachelor of Science, Mechanical Engineering (Plan of Study),Bachelor of Science, Data Science (Plan of Study),Bachelor of Science, Computer Engineering (Plan of Study),Bachelor of Science, Computer Engineering (Program Description),Bachelor of Science, Computer Science (Program Description),Bachelor of Science, Electrical Engineering (Program Description),Bachelor of Science, Mechanical Engineering (Program Description),Bachelor of Science, Business Analytics (Program Description),Bachelor of Science, Data Science (Program Description),Bachelor of Science, Engineering Physics (Plan of Study),Bachelor of Science, Engineering Mathematics - Mathematical Medicine and Biology (Plan of Study),Bachelor of Science, Engineering Physics - Physics of Medicine Track (with Pre-Med Option) (Plan of Study),Bachelor of Science, Engine"
2021-2022 Undergraduate Academic Catalog and Student Handbook,Florida Polytechnic University,Environmental Engineering,Environmental Engineering,Chemistry,CHM,2045L,Chemistry 1 Laboratory,CHEMISTRY  -  065,40.0501,1,0,1,Lab,0,None ,CHM 2045 - Chemistry 1  ,Students will participate in laboratory experiments designed to reflect the topics presented in CHM 2045 - Chemistry 1 . This course meets communication/writing-intensive requirements (W). ,Yes,Yes,Yes,No,"Chemistry Laboratory Manual, Cengage Publishing, ISBN: 9781305285286, or other text approved by the chemistry faculty. ",Laboratory instruction and exercises. ,"Safely conduct laboratory experiments, correctly analyze data, and report the results in correct English in scientific format. ","
	
		
			
			
				Demonstrate safe laboratory skills. 
			 
			 
		 
		
			
			
				Apply problem solving skills to laboratory exercises. 
			 
			 
		 
		
			
			
				Effectively communicate in written laboratory reports. 
			 
			 
		 
		
			
			
				Utilize scientific methodology including quantitative data analysis and interpretation. 
			 
			 
		 
	 
 ","Week 1 

Check-in 

  

Week 2 

Observations 

Lab Book Introduction 

  

Week 3 

Safety Practices in the Chemistry Lab 

Chapter 1, Lab Report 

  

Week 4 

Identification of a Solid Density 

Chapter 2, Lab Report 

  

Week 5 

Line Spectra 

Chapter 3, Lab Report 

  

Week 6 

Determination of an Empirical Formula 

Chapter 4, Lab Report 

  

Week 7 

Identifying Ionic Solutions 

Chapter 5, Lab Report 

  

Week 8 

Molecular Modeling 

Chapter 6, Lab Report 

  

Week 9 

Standardization of a Titrant 

Handout 

  

Week 10 

Titration of an Unknown 

Handout, Lab Report 

  

Week 11 

Enthalpy of Reactions 1 

Chapter 7 

  

Week 12 

Enthalpy of Reactions 2 

Chapter 7, Lab Report 

  

Week 13 

Molar Volume of Carbon Dioxide 

Chapter 8, Lab Report 

  

Week 14 

Checkout and Review 

  

Week 15 

Final Exam 

  ",,General Chemistry Teaching Laboratory. ,,,,1,"Bachelor of Science, Computer Engineering (Plan of Study),Additional Florida Requirements,General Education Program,Bachelor of Science, Electrical Engineering (Plan of Study),Bachelor of Science, Data Science (Plan of Study),Bachelor of Science, Mechanical Engineering (Plan of Study),Bachelor of Science, Data Science (Plan of Study),Bachelor of Science, Computer Engineering (Plan of Study),Bachelor of Science, Computer Engineering (Program Description),Bachelor of Science, Computer Science (Program Description),Bachelor of Science, Electrical Engineering (Program Description),Bachelor of Science, Mechanical Engineering (Program Description),Bachelor of Science, Business Analytics (Program Description),Bachelor of Science, Data Science (Program Description),Bachelor of Science, Engineering Physics (Plan of Study),Bachelor of Science, Engineering Mathematics - Mathematical Medicine and Biology (Plan of Study),Bachelor of Science, Engineering Physics - Physics of Medicine Track (with Pre-Med Option) (Plan of St"
2021-2022 Undergraduate Academic Catalog and Student Handbook,Florida Polytechnic University,Data Science and Business Analytics,Data Science and Business Analytics,Economics,ECO,2013,Principles of Macroeconomics,ECONOMICS  -  018,45.0601,3,3,0,No,0,None ,,"This course presents the nature of economic aggregates such as investment, employment, and price levels. The interrelationship of business and government policies; applicability of economic theory to the problems of business forecasting; cyclical fluctuations and long-term economic trends are also examined. This course meets communication/writing-intensive requirements (W). ",Yes,Yes,Yes,No,"Textbook: Paul Krugman and Robin Wells. 2012. Macroeconomics, 3e. ISBN: 9781429283434. ",,"A brief definition of economics, useful for our purposes, might go something like this-it is the study of the way individuals and collections of individuals allocate scarce resources. Macroeconomics focuses on this at a highly aggregate level. Topics include national income or production, employment, savings and investment, and inflation. Our objectives are for you to acquire an understanding of the basic principles of macroeconomics and the ability to apply them to questions, issues, and problems in these areas. ","1. Apply supply and demand analysis to the determination of key macroeconomic variables. 

  

2. Define real and nominal key macroeconomic variables and understand their calculation. 

  

3. Understand the major determinants of long run economic growth. 

  

4. Determine how changes in key variables impact the economy in the short-run using aggregate demand and aggregate supply. 

  

5.Analyze how changes in fiscal and monetary policy can affect the economy. ","  

PART 1 What is Economics? 

Chapter 1 First Principles                                                                                                             

Chapter 2 Economic Models: Trade-offs and Trade                                                                    

Appendix: Graphs in Economics 

  

PART 2 Supply and Demand 

Chapter 3 Supply and Demand 

  

Chapter 4 Price Controls and Quotas: Meddling with Markets 

Chapter 5 International Trade 

Appendix: Consumer and Producer Surplus  

  

Catch up day/Intro Chapter 6 

Exam 1 

  

PART 3 Introduction to Macroeconomics 

Chapter 6 Macroeconomics: The Big Picture 

  

Chapter 7 Tracking the Macroeconomy 

  

Chapter 8 Unemployment and Inflation 

  

PART 4 Long-run Economic Growth 

Chapter 9 Long-Run Economic Growth 

  

Catch up day/Intro Chapter 10 

Exam 2 

  

Appendix: Reconciling Two Models of the Interest Rate 

  

Additional topics from chapters 16-19 as time allows 

  

Final Exam (Cumulative) 

  

  

                                                                               ",,,,,,1,"Additional Florida Requirements,General Education Program,Bachelor of Science, Electrical Engineering (Plan of Study),Bachelor of Science, Mechanical Engineering (Plan of Study),Bachelor of Science, Data Science (Plan of Study),Bachelor of Science, Computer Engineering (Plan of Study),Bachelor of Science, Computer Engineering (Program Description),Bachelor of Science, Computer Science (Program Description),Bachelor of Science, Electrical Engineering (Program Description),Bachelor of Science, Mechanical Engineering (Program Description),Bachelor of Science, Business Analytics (Program Description),Bachelor of Science, Data Science (Program Description),Bachelor of Science, Environmental Engineering (Plan of Study),Bachelor of Science, Engineering Physics (Plan of Study),Bachelor of Science, Engineering Physics - Physics of Medicine Track (with Pre-Med Option) (Plan of Study),Bachelor of Science, Engineering Physics - Physics of Space Track (Plan of Study),Bachelor of Science, Applied Mathematics (Plan of Study"
